Year,C02039V02469,Area_under_Crops_Hectares,Crop_Yield_per_Hectare_in_Tonnes,crop_production_in_Tonnes,crop__Fodder beet,crop__Kale and field cabbage,crop__Oilseed rape,crop__Potatoes,crop__Spring barley,crop__Spring oats,crop__Spring wheat,crop__Sugar beet,crop__Total barley,crop__Total oats,crop__Total wheat,"crop__Total wheat, oats and barley",crop__Turnips,crop__Winter barley,crop__Winter oats,crop__Winter wheat
2014,11,71.6,10.0,717.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2014,111,65.1,10.2,663.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2014,112,6.5,8.3,53.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014,12,18.6,8.0,149.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2014,121,10.1,8.7,87.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2014,122,8.5,7.3,61.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2014,13,215.7,8.0,1731.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014,131,60.1,9.3,558.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2014,132,155.6,7.5,1172.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2014,2,3.5,5.7,20.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,3,9.4,3.6,34.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,4,9.5,40.5,383.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015,1,291.6,9.0,2633.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2015,11,65.3,10.7,696.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2015,111,55.3,11.0,610.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2015,112,10.1,8.6,86.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015,12,23.4,8.4,197.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2015,121,11.4,9.2,104.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2015,122,12.1,7.7,93.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2015,13,202.8,8.6,1739.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015,131,69.8,10.2,711.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2015,132,133.0,7.7,1027.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015,2,10.7,6.5,69.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,3,8.9,4.5,39.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,4,8.5,42.3,360.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2016,1,280.3,8.2,2310.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
